Date,Minimum temperature,Maximum temperature,Rainfall,Evaporation,Sunshine,Direction of maximum wind gust ,Speed of maximum wind gust,Time of maximum wind gust,9am Temperature,9am relative humidity,9am cloud amount,9am wind direction,9am wind speed,9am MSL pressure (hPa),3pm Temperature,3pm relative humidity,3pm cloud amount (oktas),3pm wind direction,3pm wind speed
6/24/2023,6.3,11.3,1.2,,,N,54,16:48,8.1,100,,NE,24,,9.9,89,,N,31
6/25/2023,6.7,8.1,21.2,,,NW,48,9:41,8,100,,N,30,,7.5,100,,N,19
6/26/2023,5.1,11.3,17.2,,,SSW,54,11:29,6.1,100,,SSW,19,,9.4,89,,SSW,28
6/27/2023,6,11,1.6,,,WNW,41,22:11,7.2,90,,W,15,,8.7,100,,WNW,22
6/28/2023,3.6,8.5,7.8,,,S,52,11:35,4.4,100,,S,24,,5.8,95,,S,22
6/29/2023,2.4,9,4.8,,,SSW,72,21:09,5.8,100,,W,13,,7.5,100,,WSW,28
6/30/2023,5.6,9.6,23.4,,,SSW,65,1:37,8,100,,SW,24,,8.7,100,,WSW,22
7/1/2023,6,9.5,7.8,,,S,69,21:17,6.7,100,,S,24,,9.2,84,,S,24
7/2/2023,5.5,11.6,0.4,,,S,50,8:00,7.4,100,,S,30,,10.5,81,,S,26
7/3/2023,4,12.1,0.2,,,ENE,28,18:17,11.1,40,,ENE,13,,9.6,88,,NE,11
7/4/2023,6.1,10.5,0,,,NE,30,5:53,8.1,100,,ENE,19,,9.9,99,,NNE,15
7/5/2023,8.1,9.9,0,,,NNE,31,10:32,9.2,100,,NE,20,,9.5,100,,NNE,17
7/6/2023,7.9,10.5,2.6,,,N,39,15:34,9,100,,NE,24,,10.1,100,,N,22
7/7/2023,7.6,11.3,4.4,,,N,63,23:25,7.8,100,,SW,13,,9.6,83,,W,17
7/8/2023,5.9,10,29.8,,,NNW,102,5:37,7.5,100,,WNW,33,,7.3,100,,W,35
7/9/2023,5.8,9.7,21,,,SW,72,3:29,7.4,100,,SW,20,,9.5,100,,WSW,26
7/10/2023,7.3,11.8,8.8,,,W,74,18:50,8.7,100,,W,19,,9.7,100,,WNW,33
7/11/2023,6.6,12.8,8.6,,,SW,56,10:18,8.5,100,,WSW,24,,9.8,100,,SW,17
7/12/2023,8.4,12.8,2,,,WNW,59,21:43,10.3,100,,WNW,26,,11.6,91,,WNW,30
7/13/2023,10.2,13.3,0,,,NW,54,12:12,11.1,96,,NW,28,,11.9,85,,NW,30
7/14/2023,9.2,10,3.2,,,NW,52,3:35,9.3,100,,NNW,28,,8.6,100,,NW,20
7/15/2023,5.5,9.6,31.2,,,WNW,52,0:11,5.7,100,,SW,22,,9.3,74,,WSW,17
7/16/2023,5.1,10.8,4.8,,,W,52,5:17,8.1,100,,W,22,,10.1,100,,W,24
7/17/2023,7.5,11.3,6.6,,,WNW,46,12:27,8.4,100,,WNW,20,,10.5,83,,WNW,31
7/18/2023,6.9,8.5,4.4,,,SSW,96,13:28,8.2,100,,NNW,43,,5.4,100,,S,26
7/19/2023,3.4,10.2,12.6,,,ENE,54,23:28,5.4,80,,S,13,,8.2,75,,NNW,11
7/20/2023,4.3,9.2,0,,,NNE,70,10:56,8.2,84,,NNE,43,,7.7,100,,NNW,35
7/21/2023,2.8,10.7,17.8,,,SW,39,0:52,5.6,100,,SSW,11,,8.4,87,,W,20
7/22/2023,4.7,11.3,2.4,,,NNW,39,11:46,8.5,100,,N,17,,9.4,100,,WSW,13
7/23/2023,5.5,10.7,11.8,,,SSW,41,13:03,6.5,100,,S,17,,8.1,82,,SSW,24
7/24/2023,6.4,10.4,1.2,,,SW,52,16:31,8.6,100,,SW,17,,9.3,100,,SW,22
7/25/2023,5.6,12.4,3.4,,,W,37,16:34,7.3,95,,SSW,17,,10.8,91,,WSW,15
7/26/2023,7.3,11.5,3.8,,,WSW,44,7:15,9.1,100,,WSW,17,,9.8,97,,WSW,15
7/27/2023,7.1,12.7,1,,,N,50,23:34,8.1,97,,N,22,,10.5,88,,N,26
7/28/2023,8,14.3,18.4,,,WNW,61,6:17,10.4,100,,WNW,28,,13.3,76,,W,17
7/29/2023,9.2,11.8,5.8,,,NW,63,23:36,10.2,100,,NNW,22,,11.7,100,,NW,31
7/30/2023,8.7,12.4,21.8,,,NW,89,8:15,9.5,100,,W,33,,8.5,100,,WNW,22
7/31/2023,4.3,9.5,8,,,W,106,3:40,6,81,,W,17,,8.7,100,,WNW,48
8/1/2023,5.3,10.1,12.4,,,SSW,61,11:02,6.2,91,,SSW,28,,7.9,75,,SSW,24
